,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_a,-18.333,2.874,-23.677,-13.49,0.839,0.609,13.0,151.0,1.25
a[1988-1989],-18.321,2.892,-23.691,-13.295,0.833,0.604,13.0,182.0,1.24
a[1989-1990],-18.338,2.906,-23.647,-13.322,0.844,0.612,13.0,165.0,1.25
a[1990-1991],-18.292,2.897,-23.618,-13.295,0.831,0.602,13.0,156.0,1.24
a[1991-1992],-18.323,2.907,-23.597,-13.303,0.84,0.609,13.0,157.0,1.24
a[1992-1993],-18.257,2.904,-23.575,-13.208,0.838,0.608,13.0,135.0,1.24
a[1993-1994],-18.268,2.898,-23.344,-13.035,0.837,0.607,13.0,133.0,1.24
a[1994-1995],-18.322,2.911,-23.741,-13.305,0.84,0.609,13.0,156.0,1.24
a[1995-1996],-18.319,2.91,-23.661,-13.316,0.844,0.612,13.0,146.0,1.24
a[1996-1997],-18.353,2.895,-23.538,-13.121,0.838,0.608,13.0,154.0,1.25
a[1997-1998],-18.305,2.893,-23.652,-13.312,0.838,0.607,13.0,157.0,1.24
a[1998-1999],-18.213,2.887,-23.645,-13.262,0.828,0.6,13.0,134.0,1.24
a[1999-2000],-18.372,2.898,-23.751,-13.374,0.84,0.609,13.0,159.0,1.25
a[2000-2001],-18.448,2.904,-23.756,-13.358,0.848,0.615,13.0,167.0,1.25
a[2001-2002],-18.358,2.892,-23.828,-13.438,0.84,0.61,13.0,152.0,1.25
a[2002-2003],-18.373,2.888,-23.616,-13.343,0.838,0.608,13.0,177.0,1.25
a[2003-2004],-18.355,2.896,-23.638,-13.255,0.842,0.611,13.0,137.0,1.25
a[2004-2005],-18.373,2.892,-23.738,-13.387,0.841,0.61,13.0,141.0,1.25
a[2005-2006],-18.382,2.897,-23.767,-13.465,0.841,0.61,13.0,179.0,1.25
a[2006-2007],-18.374,2.898,-23.596,-13.241,0.836,0.606,13.0,179.0,1.24
a[2007-2008],-18.38,2.9,-23.844,-13.435,0.842,0.61,13.0,165.0,1.25
a[2008-2009],-18.334,2.91,-23.793,-13.416,0.839,0.608,13.0,165.0,1.24
a[2009-2010],-18.293,2.887,-23.563,-13.276,0.835,0.605,13.0,152.0,1.24
a[2010-2011],-18.381,2.893,-23.668,-13.35,0.841,0.61,13.0,167.0,1.25
a[2011-2012],-18.285,2.897,-23.521,-13.145,0.838,0.608,13.0,146.0,1.24
a[2012-2013],-18.381,2.918,-23.525,-13.171,0.846,0.614,13.0,174.0,1.25
a[2013-2014],-18.281,2.893,-23.544,-13.215,0.835,0.605,13.0,146.0,1.24
a[2014-2015],-18.317,2.897,-23.606,-13.336,0.838,0.608,13.0,151.0,1.24
a[2015-2016],-18.328,2.896,-23.571,-13.2,0.836,0.606,13.0,154.0,1.24
a[2016-2017],-18.412,2.915,-23.816,-13.354,0.847,0.614,13.0,159.0,1.25
a[2017-2018],-18.344,2.898,-23.663,-13.29,0.837,0.607,13.0,163.0,1.24
a[2018-2019],-18.324,2.905,-23.589,-13.238,0.843,0.611,13.0,164.0,1.24
a[2019-2020],-18.304,2.913,-23.763,-13.337,0.833,0.604,13.0,170.0,1.24
a[2020-2021],-18.303,2.92,-23.582,-13.186,0.845,0.613,13.0,153.0,1.24
a[2021-2022],-18.33,2.905,-23.677,-13.346,0.844,0.612,13.0,159.0,1.25
mu_b0,0.098,0.027,0.043,0.146,0.003,0.002,112.0,795.0,1.03
b_offset0[0],0.005,0.971,-1.694,1.961,0.018,0.016,2856.0,2460.0,1.0
b_offset0[1],-0.013,0.988,-1.971,1.67,0.02,0.017,2493.0,2678.0,1.0
b_offset0[2],0.136,0.996,-1.773,2.01,0.022,0.015,2131.0,2499.0,1.0
b_offset0[3],-0.045,0.975,-2.024,1.667,0.023,0.016,1810.0,2246.0,1.0
b_offset0[4],0.147,0.99,-1.708,2.004,0.019,0.015,2622.0,2549.0,1.0
b_offset0[5],0.05,0.988,-1.752,1.976,0.019,0.017,2774.0,2076.0,1.0
b_offset0[6],0.077,0.958,-1.689,1.899,0.02,0.015,2215.0,2501.0,1.0
b_offset0[7],-0.016,0.971,-1.797,1.854,0.019,0.016,2664.0,2871.0,1.0
b_offset0[8],0.036,1.003,-1.834,1.946,0.024,0.017,1798.0,1652.0,1.0
b_offset0[9],0.152,0.969,-1.676,1.907,0.02,0.014,2363.0,2572.0,1.0
b_offset0[10],0.046,0.955,-1.632,1.948,0.021,0.015,2037.0,2131.0,1.01
b_offset0[11],-0.242,0.98,-2.043,1.592,0.023,0.017,1894.0,2218.0,1.0
b_offset0[12],-0.115,0.976,-2.038,1.604,0.022,0.016,1975.0,2289.0,1.0
b_offset0[13],-0.128,0.956,-1.869,1.646,0.017,0.015,3044.0,2864.0,1.0
b_offset0[14],-0.166,0.949,-1.903,1.596,0.02,0.015,2304.0,2815.0,1.0
b_offset0[15],-0.056,0.981,-1.87,1.767,0.019,0.016,2627.0,2364.0,1.0
b_offset0[16],-0.012,0.99,-1.893,1.78,0.02,0.018,2402.0,2163.0,1.0
b_offset0[17],-0.052,0.998,-2.036,1.637,0.024,0.018,1642.0,1746.0,1.0
b_offset0[18],-0.188,1.0,-2.163,1.559,0.022,0.016,2130.0,2436.0,1.0
b_offset0[19],-0.034,0.971,-1.827,1.805,0.019,0.016,2570.0,2530.0,1.0
b_offset0[20],0.121,0.966,-1.668,1.908,0.021,0.016,2051.0,2299.0,1.0
b_offset0[21],0.108,0.973,-1.701,1.916,0.021,0.015,2106.0,2176.0,1.0
b_offset0[22],-0.078,0.965,-1.864,1.718,0.018,0.015,2804.0,2655.0,1.0
b_offset0[23],0.056,1.005,-1.895,1.871,0.019,0.016,2695.0,1989.0,1.0
b_offset0[24],-0.067,0.99,-1.897,1.765,0.021,0.016,2285.0,2617.0,1.0
b_offset0[25],0.148,0.962,-1.665,1.911,0.019,0.015,2611.0,2572.0,1.0
b_offset0[26],0.073,0.984,-1.842,1.906,0.021,0.016,2162.0,1437.0,1.0
b_offset0[27],-0.082,0.978,-1.831,1.82,0.02,0.016,2295.0,2388.0,1.0
b_offset0[28],-0.131,0.975,-1.837,1.817,0.02,0.018,2334.0,2282.0,1.0
b_offset0[29],-0.039,0.992,-1.861,1.799,0.021,0.017,2313.0,1971.0,1.0
b_offset0[30],0.083,0.989,-1.764,1.95,0.019,0.015,2758.0,2897.0,1.0
b_offset0[31],0.07,0.998,-1.84,1.836,0.022,0.016,2143.0,2389.0,1.0
b_offset0[32],0.181,0.965,-1.612,1.985,0.02,0.015,2436.0,2178.0,1.0
b_offset0[33],0.051,0.987,-1.867,1.877,0.02,0.016,2477.0,2717.0,1.0
mu_b1,-0.114,0.023,-0.158,-0.073,0.001,0.0,1177.0,1630.0,1.0
b_offset1[0],0.058,0.98,-1.773,1.924,0.021,0.015,2137.0,2675.0,1.0
b_offset1[1],-0.047,1.01,-1.832,1.937,0.022,0.017,2198.0,1940.0,1.0
b_offset1[2],0.032,0.975,-1.77,1.903,0.019,0.016,2760.0,2614.0,1.0
b_offset1[3],0.067,0.94,-1.771,1.727,0.018,0.014,2638.0,2814.0,1.0
b_offset1[4],0.137,1.023,-1.713,2.088,0.02,0.016,2721.0,2792.0,1.0
b_offset1[5],0.093,0.976,-1.8,1.892,0.021,0.016,2233.0,2451.0,1.0
b_offset1[6],0.018,0.969,-1.771,1.85,0.02,0.016,2383.0,2252.0,1.0
b_offset1[7],0.111,0.956,-1.573,2.046,0.018,0.015,2718.0,2535.0,1.0
b_offset1[8],-0.131,0.985,-1.911,1.813,0.018,0.015,2863.0,2791.0,1.0
b_offset1[9],0.05,0.934,-1.724,1.734,0.019,0.014,2332.0,2569.0,1.0
b_offset1[10],0.395,1.008,-1.512,2.237,0.021,0.015,2405.0,2877.0,1.0
b_offset1[11],-0.192,0.984,-2.008,1.666,0.021,0.016,2154.0,2264.0,1.0
b_offset1[12],-0.288,0.974,-2.072,1.524,0.02,0.017,2384.0,2053.0,1.0
b_offset1[13],-0.087,0.966,-1.855,1.66,0.022,0.016,1872.0,2649.0,1.0
b_offset1[14],-0.142,1.006,-2.048,1.656,0.021,0.016,2329.0,2405.0,1.0
b_offset1[15],-0.102,0.977,-1.955,1.732,0.021,0.015,2071.0,2337.0,1.0
b_offset1[16],-0.111,0.97,-2.078,1.584,0.022,0.017,1975.0,1572.0,1.0
b_offset1[17],-0.199,0.983,-1.976,1.699,0.021,0.015,2132.0,2665.0,1.0
b_offset1[18],-0.179,0.974,-1.939,1.688,0.021,0.015,2196.0,2468.0,1.0
b_offset1[19],-0.165,0.974,-2.017,1.575,0.019,0.015,2667.0,2633.0,1.0
b_offset1[20],-0.025,0.961,-1.819,1.794,0.02,0.016,2396.0,2366.0,1.0
b_offset1[21],0.035,0.965,-1.694,1.971,0.022,0.016,1955.0,2565.0,1.01
b_offset1[22],-0.029,0.96,-1.846,1.756,0.02,0.015,2272.0,2525.0,1.0
b_offset1[23],0.085,0.987,-1.768,1.94,0.018,0.015,3058.0,2699.0,1.0
b_offset1[24],-0.06,0.958,-1.705,1.869,0.018,0.015,2771.0,2425.0,1.0
b_offset1[25],0.113,0.952,-1.554,2.021,0.019,0.014,2536.0,2353.0,1.0
b_offset1[26],0.02,0.968,-1.908,1.707,0.022,0.017,1991.0,1542.0,1.0
b_offset1[27],0.047,0.967,-1.805,1.772,0.02,0.015,2341.0,2621.0,1.0
b_offset1[28],-0.081,0.99,-1.923,1.722,0.022,0.017,1964.0,1970.0,1.0
b_offset1[29],0.101,0.966,-1.774,1.774,0.021,0.015,2158.0,2605.0,1.0
b_offset1[30],0.034,0.975,-1.879,1.762,0.024,0.017,1586.0,1795.0,1.0
b_offset1[31],0.112,0.974,-1.681,1.954,0.021,0.015,2152.0,2484.0,1.0
b_offset1[32],0.098,0.976,-1.802,1.833,0.023,0.017,1749.0,2154.0,1.0
b_offset1[33],0.154,0.962,-1.612,1.994,0.021,0.015,2156.0,2607.0,1.0
mu_b2,0.002,0.001,0.001,0.003,0.0,0.0,223.0,1081.0,1.02
b_offset2[0],0.077,0.977,-1.832,1.858,0.023,0.017,1802.0,1857.0,1.0
b_offset2[1],-0.018,0.973,-1.878,1.737,0.021,0.016,2137.0,2618.0,1.0
b_offset2[2],0.083,0.947,-1.597,1.913,0.019,0.015,2409.0,2115.0,1.0
b_offset2[3],0.125,0.97,-1.694,1.998,0.021,0.015,2081.0,2206.0,1.0
b_offset2[4],0.251,0.96,-1.57,2.057,0.021,0.015,2156.0,1560.0,1.0
b_offset2[5],0.216,0.98,-1.701,1.985,0.025,0.018,1542.0,1943.0,1.0
b_offset2[6],-0.087,0.956,-1.977,1.623,0.023,0.016,1734.0,2137.0,1.0
b_offset2[7],0.088,0.942,-1.692,1.824,0.021,0.015,2035.0,2196.0,1.0
b_offset2[8],-0.105,0.957,-1.844,1.781,0.021,0.015,2121.0,2392.0,1.0
b_offset2[9],0.041,0.943,-1.635,1.927,0.019,0.016,2537.0,2129.0,1.0
b_offset2[10],0.569,1.018,-1.303,2.521,0.025,0.018,1638.0,2131.0,1.0
b_offset2[11],-0.149,0.953,-1.899,1.655,0.019,0.016,2614.0,2682.0,1.0
b_offset2[12],-0.413,0.946,-2.113,1.386,0.022,0.016,1931.0,1874.0,1.0
b_offset2[13],-0.135,0.933,-1.796,1.716,0.018,0.014,2590.0,2788.0,1.0
b_offset2[14],-0.157,0.987,-2.143,1.568,0.02,0.015,2463.0,2523.0,1.0
b_offset2[15],-0.132,0.977,-1.881,1.809,0.022,0.018,2054.0,2176.0,1.0
b_offset2[16],-0.027,0.935,-1.933,1.59,0.018,0.015,2686.0,2647.0,1.0
b_offset2[17],-0.36,0.989,-2.161,1.554,0.02,0.015,2397.0,2641.0,1.0
b_offset2[18],-0.246,0.945,-2.032,1.533,0.023,0.017,1620.0,2153.0,1.0
b_offset2[19],-0.26,0.955,-1.98,1.535,0.021,0.015,2123.0,2402.0,1.0
b_offset2[20],-0.154,0.988,-2.072,1.635,0.021,0.016,2249.0,2480.0,1.0
b_offset2[21],0.006,0.933,-1.753,1.786,0.018,0.015,2593.0,2421.0,1.0
b_offset2[22],-0.092,0.939,-1.768,1.708,0.02,0.015,2158.0,2330.0,1.0
b_offset2[23],0.132,0.942,-1.72,1.913,0.019,0.014,2540.0,2858.0,1.0
b_offset2[24],-0.026,0.927,-1.701,1.722,0.018,0.013,2674.0,2939.0,1.0
b_offset2[25],0.117,0.928,-1.682,1.775,0.019,0.014,2318.0,2449.0,1.0
b_offset2[26],0.019,0.962,-1.793,1.761,0.02,0.015,2306.0,2629.0,1.01
b_offset2[27],0.055,0.949,-1.772,1.758,0.019,0.015,2514.0,2753.0,1.0
b_offset2[28],-0.149,0.967,-2.011,1.599,0.021,0.016,2126.0,2436.0,1.0
b_offset2[29],0.12,0.953,-1.625,1.936,0.019,0.014,2434.0,2442.0,1.0
b_offset2[30],0.087,0.967,-1.666,1.902,0.02,0.015,2337.0,2769.0,1.0
b_offset2[31],0.165,0.982,-1.574,2.076,0.021,0.015,2145.0,2683.0,1.0
b_offset2[32],0.146,0.96,-1.655,1.917,0.019,0.015,2510.0,2422.0,1.0
b_offset2[33],0.248,0.967,-1.483,2.106,0.022,0.015,1975.0,2355.0,1.0
mu_b3,0.229,0.125,-0.009,0.453,0.006,0.004,463.0,925.0,1.02
b_offset3[0],0.059,0.973,-1.695,1.98,0.018,0.016,2881.0,2533.0,1.0
b_offset3[1],-0.016,0.985,-1.902,1.761,0.021,0.015,2308.0,2651.0,1.0
b_offset3[2],-0.02,0.977,-2.02,1.688,0.019,0.016,2702.0,2782.0,1.0
b_offset3[3],0.043,0.985,-1.685,1.984,0.021,0.016,2243.0,2346.0,1.0
b_offset3[4],0.039,1.003,-1.783,2.017,0.019,0.016,2840.0,2574.0,1.0
b_offset3[5],0.041,0.996,-1.797,1.904,0.02,0.016,2418.0,2711.0,1.0
b_offset3[6],-0.041,1.015,-1.856,1.895,0.019,0.017,2769.0,2200.0,1.0
b_offset3[7],0.027,0.992,-1.898,1.826,0.021,0.016,2260.0,2037.0,1.0
b_offset3[8],0.018,0.948,-1.734,1.766,0.019,0.014,2492.0,2740.0,1.0
b_offset3[9],0.064,0.976,-1.787,1.874,0.02,0.015,2477.0,2451.0,1.0
b_offset3[10],0.255,0.992,-1.634,2.057,0.02,0.016,2387.0,2539.0,1.0
b_offset3[11],-0.001,0.978,-1.781,1.88,0.018,0.015,2949.0,2796.0,1.0
b_offset3[12],-0.13,1.008,-1.981,1.702,0.021,0.016,2319.0,2365.0,1.0
b_offset3[13],-0.037,0.944,-1.834,1.747,0.019,0.013,2587.0,2594.0,1.0
b_offset3[14],-0.015,0.965,-1.717,1.923,0.018,0.015,2766.0,2638.0,1.0
b_offset3[15],0.052,0.999,-1.702,1.999,0.02,0.017,2510.0,2439.0,1.0
b_offset3[16],-0.16,0.994,-2.038,1.71,0.021,0.015,2238.0,2383.0,1.0
b_offset3[17],-0.041,0.969,-1.78,1.847,0.02,0.016,2471.0,1734.0,1.0
b_offset3[18],0.007,0.954,-1.789,1.778,0.017,0.015,3005.0,2592.0,1.0
b_offset3[19],-0.007,0.987,-1.787,1.931,0.018,0.018,2981.0,2160.0,1.0
b_offset3[20],-0.015,0.971,-1.738,1.862,0.019,0.015,2492.0,2370.0,1.0
b_offset3[21],0.151,1.007,-1.725,2.1,0.022,0.017,2191.0,1959.0,1.0
b_offset3[22],0.001,1.009,-1.876,1.928,0.021,0.016,2308.0,2405.0,1.0
b_offset3[23],0.13,0.996,-1.627,2.119,0.021,0.017,2307.0,2563.0,1.0
b_offset3[24],-0.027,0.987,-1.904,1.78,0.019,0.016,2745.0,2789.0,1.0
b_offset3[25],-0.122,0.971,-1.843,1.801,0.021,0.015,2107.0,2049.0,1.0
b_offset3[26],0.079,0.953,-1.764,1.817,0.018,0.014,2723.0,2458.0,1.0
b_offset3[27],-0.025,0.98,-1.792,1.886,0.022,0.016,2078.0,1941.0,1.0
b_offset3[28],-0.215,0.993,-2.175,1.524,0.024,0.017,1736.0,2308.0,1.0
b_offset3[29],0.095,0.991,-1.787,1.916,0.023,0.017,1914.0,1450.0,1.0
b_offset3[30],-0.107,0.982,-2.02,1.636,0.02,0.016,2501.0,2383.0,1.0
b_offset3[31],0.017,0.98,-1.85,1.87,0.02,0.015,2528.0,2403.0,1.0
b_offset3[32],0.026,0.974,-1.864,1.84,0.019,0.016,2512.0,2408.0,1.0
b_offset3[33],-0.047,0.96,-1.861,1.746,0.022,0.015,1933.0,2335.0,1.0
mu_b4,-6.894,4.528,-15.017,1.693,0.971,0.696,22.0,199.0,1.13
b_offset4[0],0.047,0.985,-1.751,1.931,0.022,0.016,1949.0,2409.0,1.0
b_offset4[1],0.048,1.024,-1.811,1.952,0.021,0.018,2455.0,2413.0,1.0
b_offset4[2],-0.031,0.979,-1.816,1.851,0.019,0.017,2636.0,2503.0,1.0
b_offset4[3],-0.015,0.977,-1.915,1.732,0.019,0.016,2654.0,2298.0,1.0
b_offset4[4],0.053,0.954,-1.758,1.823,0.022,0.015,1915.0,2156.0,1.0
b_offset4[5],0.089,0.968,-1.698,1.899,0.02,0.015,2378.0,2409.0,1.0
b_offset4[6],0.093,0.973,-1.749,1.917,0.019,0.016,2672.0,2721.0,1.0
b_offset4[7],0.079,0.974,-1.741,1.85,0.019,0.015,2495.0,2063.0,1.0
b_offset4[8],-0.032,0.971,-1.829,1.844,0.019,0.016,2562.0,2535.0,1.0
b_offset4[9],0.09,0.99,-1.827,1.863,0.019,0.016,2657.0,2587.0,1.0
b_offset4[10],0.152,1.004,-1.689,2.042,0.021,0.016,2269.0,2455.0,1.0
b_offset4[11],-0.145,0.982,-2.001,1.695,0.02,0.015,2522.0,2639.0,1.0
b_offset4[12],-0.184,1.01,-2.019,1.748,0.021,0.016,2327.0,2276.0,1.0
b_offset4[13],-0.084,0.972,-1.82,1.762,0.018,0.015,3000.0,1934.0,1.0
b_offset4[14],-0.107,0.968,-1.867,1.773,0.02,0.017,2245.0,2268.0,1.0
b_offset4[15],-0.058,0.963,-1.808,1.808,0.019,0.017,2617.0,2516.0,1.0
b_offset4[16],-0.119,0.994,-2.064,1.651,0.02,0.017,2456.0,2340.0,1.0
b_offset4[17],-0.08,1.005,-1.933,1.801,0.021,0.017,2289.0,2399.0,1.0
b_offset4[18],-0.02,0.936,-1.766,1.725,0.019,0.015,2538.0,2333.0,1.0
b_offset4[19],-0.068,0.981,-1.757,1.898,0.02,0.016,2404.0,1988.0,1.0
b_offset4[20],0.004,0.974,-1.79,1.852,0.021,0.015,2100.0,2652.0,1.0
b_offset4[21],0.086,0.98,-1.796,1.866,0.018,0.016,2859.0,2694.0,1.0
b_offset4[22],-0.083,0.972,-1.972,1.684,0.02,0.016,2415.0,2651.0,1.0
b_offset4[23],0.182,1.022,-1.668,2.181,0.02,0.017,2624.0,2098.0,1.0
b_offset4[24],-0.052,0.98,-1.994,1.684,0.019,0.015,2597.0,2535.0,1.0
b_offset4[25],0.1,0.98,-1.833,1.832,0.022,0.016,2021.0,2287.0,1.0
b_offset4[26],0.024,0.955,-1.761,1.776,0.021,0.015,2117.0,2808.0,1.0
b_offset4[27],0.037,0.99,-1.696,2.007,0.022,0.016,2073.0,2531.0,1.0
b_offset4[28],-0.161,1.006,-2.012,1.787,0.02,0.016,2546.0,2441.0,1.0
b_offset4[29],-0.002,0.995,-1.858,1.894,0.024,0.017,1757.0,1614.0,1.0
b_offset4[30],-0.047,0.981,-1.89,1.827,0.021,0.017,2188.0,2332.0,1.0
b_offset4[31],0.061,0.992,-1.725,1.935,0.02,0.016,2374.0,2059.0,1.0
b_offset4[32],0.068,0.988,-1.686,2.002,0.02,0.018,2389.0,1779.0,1.0
b_offset4[33],-0.058,0.977,-1.898,1.731,0.023,0.016,1844.0,2421.0,1.0
mu_b5,-2.413,1.089,-4.521,-0.405,0.037,0.026,858.0,1527.0,1.01
b_offset5[0],0.079,0.991,-1.87,1.866,0.021,0.017,2266.0,2396.0,1.0
b_offset5[1],-0.183,0.995,-1.965,1.751,0.019,0.017,2611.0,2401.0,1.0
b_offset5[2],-0.202,1.023,-2.129,1.69,0.023,0.016,1948.0,2602.0,1.0
b_offset5[3],0.228,0.997,-1.575,2.114,0.019,0.016,2716.0,2642.0,1.0
b_offset5[4],0.334,1.003,-1.616,2.162,0.022,0.017,2028.0,2451.0,1.0
b_offset5[5],0.274,0.98,-1.557,2.087,0.022,0.015,2070.0,1604.0,1.0
b_offset5[6],0.031,0.954,-1.83,1.77,0.019,0.016,2474.0,2551.0,1.0
b_offset5[7],0.26,0.975,-1.558,2.008,0.019,0.015,2739.0,2603.0,1.0
b_offset5[8],-0.206,0.976,-2.141,1.491,0.021,0.016,2138.0,1633.0,1.0
b_offset5[9],0.222,0.994,-1.51,2.229,0.019,0.016,2685.0,2621.0,1.0
b_offset5[10],-0.087,0.927,-1.726,1.697,0.02,0.014,2239.0,2675.0,1.0
b_offset5[11],0.08,1.02,-1.788,2.042,0.02,0.017,2519.0,2598.0,1.0
b_offset5[12],-0.179,0.956,-1.92,1.612,0.02,0.017,2204.0,2501.0,1.0
b_offset5[13],-0.007,0.945,-1.726,1.827,0.019,0.015,2475.0,2529.0,1.0
b_offset5[14],-0.02,0.988,-1.841,1.883,0.02,0.016,2485.0,2039.0,1.0
b_offset5[15],0.091,0.969,-1.624,1.975,0.019,0.016,2569.0,2322.0,1.0
b_offset5[16],0.129,0.975,-1.646,1.975,0.021,0.016,2182.0,1723.0,1.0
b_offset5[17],-0.212,0.972,-1.97,1.628,0.021,0.015,2155.0,2267.0,1.0
b_offset5[18],-0.105,0.958,-1.864,1.728,0.022,0.016,1868.0,2336.0,1.0
b_offset5[19],-0.028,0.95,-1.722,1.852,0.021,0.015,2082.0,2304.0,1.0
b_offset5[20],-0.113,0.974,-1.914,1.722,0.018,0.015,2815.0,2438.0,1.0
b_offset5[21],0.096,0.949,-1.585,1.951,0.017,0.017,2994.0,2473.0,1.0
b_offset5[22],-0.103,0.989,-1.952,1.794,0.02,0.016,2373.0,2209.0,1.0
b_offset5[23],-0.136,0.957,-1.902,1.686,0.021,0.015,2158.0,2459.0,1.0
b_offset5[24],-0.262,0.969,-1.947,1.698,0.019,0.015,2560.0,2503.0,1.0
b_offset5[25],-0.087,0.966,-1.839,1.813,0.021,0.016,2102.0,2247.0,1.0
b_offset5[26],-0.162,0.946,-1.911,1.666,0.018,0.015,2684.0,2777.0,1.0
b_offset5[27],0.089,0.963,-1.691,1.91,0.02,0.014,2407.0,2512.0,1.0
b_offset5[28],-0.269,0.94,-2.09,1.541,0.019,0.015,2341.0,1946.0,1.0
b_offset5[29],0.056,0.96,-1.761,1.837,0.019,0.016,2512.0,2634.0,1.0
b_offset5[30],0.429,0.966,-1.39,2.243,0.022,0.015,2032.0,2146.0,1.0
b_offset5[31],-0.17,0.935,-1.896,1.606,0.02,0.015,2229.0,2567.0,1.0
b_offset5[32],0.222,0.951,-1.642,1.936,0.019,0.016,2547.0,2652.0,1.0
b_offset5[33],0.15,0.969,-1.676,1.933,0.021,0.015,2222.0,2695.0,1.0
mu_b6,-0.041,0.784,-1.509,1.371,0.026,0.021,1000.0,1149.0,1.01
b_offset6[0],-0.174,0.987,-2.126,1.651,0.02,0.016,2507.0,2582.0,1.0
b_offset6[1],-0.113,0.94,-1.967,1.591,0.02,0.015,2277.0,2503.0,1.0
b_offset6[2],-0.193,0.917,-1.845,1.57,0.021,0.015,1963.0,1996.0,1.0
b_offset6[3],-0.065,0.943,-1.782,1.78,0.021,0.015,2110.0,2395.0,1.0
b_offset6[4],-0.395,0.952,-2.24,1.341,0.022,0.016,1858.0,1958.0,1.0
b_offset6[5],0.216,0.976,-1.666,2.008,0.021,0.015,2065.0,2224.0,1.0
b_offset6[6],0.2,0.951,-1.552,1.953,0.02,0.015,2333.0,2430.0,1.0
